Cos'è un foglio di calcolo (spreadsheet)?;Un programma per inserire organizzare calcolare e analizzare dati soprattutto numerici invece di scrivere testo continuo
Qual è il foglio di calcolo più diffuso al mondo?;Microsoft Excel
Per cosa è pensato principalmente Word?;Per scrivere e gestire testo
Per cosa è pensato principalmente Excel?;Per organizzare calcolare e analizzare dati e numeri
Cosa succede in Excel se cambia un valore da cui altri valori dipendono?;Tutto ciò che ne dipende si aggiorna automaticamente
Quali sono alcuni usi quotidiani di un foglio di calcolo?;Elenco clienti presenza dei collaboratori spese personali budget e inventario di magazzino
Cosa si trova aprendo Excel per la prima volta al posto di un foglio bianco?;Una struttura di righe e colonne già pronta ad accogliere dati
A quale famiglia di programmi appartengono sia Word che Excel?;Alla famiglia Microsoft Office
Cos'è una matrice in informatica?;Una struttura organizzata in righe e colonne in cui ogni cella nasce dall'incrocio tra una riga e una colonna
Cosa sono i campi in una tabella di dati?;I diversi tipi di informazioni che si vogliono registrare e corrispondono alle colonne
Cos'è un record?;L'insieme dei campi riferiti a un singolo elemento e corrisponde a una riga della tabella
Cos'è un database?;Un insieme organizzato di record
Perché due elementi con lo stesso nome in un database non vengono confusi?;Perché ogni record possiede un ID univoco anche se il nome è uguale a un altro
Come si può descrivere un foglio Excel secondo la logica di righe e colonne?;Come una grande matrice organizzata in righe e colonne per inserire organizzare e gestire dati
Cosa propone la schermata iniziale di Excel?;Cartelle di lavoro recenti alcuni modelli predefiniti e l'opzione di creare una cartella di lavoro vuota
Come si chiama il file creato da Excel?;Cartella di lavoro o workbook
Cosa può contenere una cartella di lavoro?;Uno o più fogli di lavoro chiamati anche worksheet
Qual è la gerarchia degli elementi in Excel dal più grande al più piccolo?;Programma cartella di lavoro foglio e celle
Da quali elementi principali è composto l'ambiente di lavoro di Excel?;Barra multifunzione area di lavoro barra della formula casella nome barra di stato e schede dei fogli
Come si chiama in inglese la barra multifunzione di Excel?;Ribbon Bar detta anche barra a nastro
A cosa serve la barra multifunzione?;A raggruppare i comandi in schede organizzate per compito
Qual è la principale differenza tra lo spazio di lavoro di Word e quello di Excel?;In Word lo spazio principale è la pagina in Excel è una griglia
Cosa mostra la barra della formula?;Il contenuto reale della cella selezionata in quel momento
Cosa mostra la casella nome?;L'indirizzo della cella attualmente selezionata
A cosa servono le schede dei fogli in basso nella finestra di Excel?;Permettono di passare da un foglio di lavoro all'altro nella stessa cartella
Cosa sono le colonne in un foglio Excel?;Le strisce verticali identificate da lettere come A B e C
Cosa sono le righe in un foglio Excel?;Le strisce orizzontali identificate da numeri come 1 2 e 3
Cos'è una cella in Excel?;Il punto di incontro tra una colonna e una riga identificato da un indirizzo
Come è composto l'indirizzo di una cella?;Dalla lettera della colonna seguita dal numero della riga come A1
Un indirizzo di cella come A1 descrive il contenuto della cella?;No indica soltanto la posizione della cella e non il suo contenuto
A cosa serve collegare tra loro gli indirizzi di celle diverse tramite una formula?;A far dipendere il valore di una cella da un altro valore
