Cosa accadde ai dati del Dipartimento per gli Affari dei Veterani degli Stati Uniti nel maggio 2006?;Un portatile e un disco rigido esterno non cifrati contenenti dati di circa 26.5 milioni di persone furono rubati dopo essere stati portati a casa senza autorizzazione
Cosa mostra il caso del Dipartimento per gli Affari dei Veterani del 2006?;Che la sicurezza fisica e la cifratura devono sempre procedere insieme
Cosa accadde a GitLab il 31 gennaio 2017?;Un amministratore cancellò per errore circa 300 gigabyte di dati dal database di produzione scoprendo che nessuno dei cinque sistemi di backup funzionava correttamente
Da quale unico snapshot recuperabile GitLab riuscì a ripristinare i dati nel 2017?;Uno risalente a circa sei ore prima dell'incidente creato manualmente
Cosa accadde a Norsk Hydro nella notte tra il 18 e il 19 marzo 2019?;Fu colpita da un attacco ransomware con il malware LockerGoga che cifrò centinaia di server costringendo a un funzionamento manuale
Come rispose Norsk Hydro all'attacco ransomware del 2019?;Decise di non pagare alcun riscatto e ripristinò i propri sistemi a partire dai backup esistenti
Come ottennero gli aggressori l'accesso ai dati di Uber nell'ottobre 2016?;Trovarono credenziali di accesso a uno spazio cloud lasciate per errore scritte nel codice su un repository privato su GitHub
Come reagì Uber alla violazione dei dati del 2016?;Pagò 100.000 dollari agli aggressori camuffando il pagamento come una ricompensa e tenne nascosto l'episodio per oltre un anno
Cosa scoprì una troupe di CBS News nel 2010 riguardo a una fotocopiatrice usata?;Circa 300 pagine di documenti medici reali appartenenti a pazienti della compagnia Affinity Health Plan ancora memorizzate sul disco rigido interno
Che sanzione ricevette Affinity Health Plan nel 2013?;Oltre 1.2 milioni di dollari
Cosa scoprì l'astronomo Clifford Stoll nel 1986 al Lawrence Berkeley National Laboratory?;Indagando su una discrepanza contabile di 75 centesimi scoprì una rete di spionaggio internazionale che vendeva informazioni militari statunitensi
Come si intitola il libro in cui Clifford Stoll raccontò la propria indagine?;L'uovo del cuculo
Cosa mostra il caso di Clifford Stoll riguardo alla sicurezza informatica?;Che non bisogna mai ignorare un piccolo dettaglio fuori posto anche quando sembra irrilevante
