Cosa significa inserire un'immagine in Word?;Aggiungere un contenuto grafico come una fotografia un disegno o uno screenshot in un punto preciso del documento
Quali sono i modi per inserire un'immagine in Word?;Trascinamento scheda Inserisci Immagini immagini online screenshot e copia e incolla
Cos'è l'aspect ratio di un'immagine?;Il rapporto tra larghezza e altezza dell'immagine
Cosa succede ridimensionando un'immagine trascinando un angolo?;Le proporzioni originali restano invariate
Cosa succede ridimensionando un'immagine trascinando un lato?;L'immagine risulta deformata allungata o schiacciata
Cos'è un'immagine in linea con il testo?;Un'immagine che occupa spazio dentro la riga e si sposta insieme al testo
Cos'è un'immagine mobile?;Un'immagine che può essere spostata liberamente in qualsiasi punto della pagina indipendentemente dal testo
Quali sono le opzioni di testo a capo per un'immagine mobile?;In linea con il testo Quadrato Ravvicinato Dietro al testo e Davanti al testo
Cosa fa l'opzione Quadrato per il testo a capo?;Fa sì che il testo circondi l'immagine seguendo un riquadro
Cosa fa l'opzione Ravvicinato per il testo a capo?;Fa sì che il testo segua il profilo reale dell'immagine
A cosa viene sempre ancorata un'immagine mobile?;A un paragrafo specifico del documento
Cos'è una tabella in Word?;Una struttura ordinata di righe e colonne la cui intersezione forma delle celle
Cosa contiene ogni cella di una tabella?;Testo numeri o altri elementi in modo indipendente dalle celle vicine
Come si comporta il testo dentro una cella di tabella?;Va a capo automaticamente restando dentro i confini della cella
Da dove si inserisce una tabella in Word?;Dalla scheda Inserisci Tabella
Qual è il limite delle tabulazioni rispetto a una tabella?;Restano un'illusione visiva che diventa scomoda da gestire con molte colonne o dati di lunghezza diversa
Come si può convertire un testo già scritto in una tabella?;Con il comando apposito se il testo è separato da virgole o tabulazioni
Cosa sono le forme in Word?;Oggetti grafici semplici come rettangoli cerchi frecce linee e callout
Quale funzione ha una freccia in uno schema fatto con le forme?;Indica un collegamento logico tra due elementi
Cos'è lo SmartArt?;Un diagramma predefinito con una struttura logica già pronta in cui basta inserire il proprio testo
Da dove si inserisce uno SmartArt?;Da Inserisci SmartArt
Che cos'è un menù contestuale?;È un menù che propone comandi pertinenti all'elemento selezionato o alla situazione in cui viene aperto.
Perché si chiama contestuale?;Perché i comandi disponibili dipendono dal contesto, cioè dall'oggetto o dall'area su cui si fa clic.
Quali sono alcune categorie di SmartArt disponibili?;Elenchi Processi Cicli Gerarchie e Relazioni
