Che cos'è una memoria di massa online?;Uno spazio di archiviazione remoto offerto da un servizio cloud in cui salvare file e cartelle raggiungibili da qualunque dispositivo collegato a Internet
Quali sono i tre tipi di limiti che una memoria di massa online può imporre?;Limiti di dimensione limiti di tempo e limiti di condivisione
Cosa riguardano i limiti di dimensione di una memoria di massa online?;Lo spazio totale disponibile e la dimensione massima di un singolo file caricabile in un'unica volta
Cosa riguardano i limiti di condivisione di una memoria di massa online?;Quante persone possono accedere contemporaneamente a una risorsa e quali permessi diversi è possibile assegnare
Cosa significa caricare o upload di un file?;Trasferirlo dal proprio dispositivo allo spazio online
Cosa significa scaricare o download di un file?;Riportarlo dallo spazio online sul proprio dispositivo
Cosa significa eliminare un file nello spazio cloud?;Rimuoverlo dallo spazio condiviso spesso recuperabile per un periodo limitato da un cestino prima della cancellazione definitiva
In quali modi si possono caricare file e cartelle su uno spazio cloud?;Trascinandoli con il mouse usando un pulsante dedicato nell'interfaccia web oppure tramite una cartella sincronizzata sul computer
Che cosa sono le applicazioni di produttività basate sul Web?;Elaboratori di testo fogli di calcolo e strumenti di presentazione che funzionano interamente nel browser senza bisogno di installazione
Qual è la differenza principale tra un'app di produttività web e un programma installato?;L'app web non risiede sul disco di un singolo computer ma sul server del fornitore ed è raggiungibile da qualunque dispositivo con un browser
Quali due caratteristiche fondamentali condividono le applicazioni di produttività web rispetto a quelle installate?;Gli aggiornamenti in tempo reale visibili a tutti gli utenti collegati e la condivisione nativa che permette di lavorare sullo stesso file senza scambiarsi copie
Cosa succede su un programma installato se due persone provano ad aprire lo stesso documento in scrittura?;Solo una persona alla volta può aprirlo in scrittura mentre l'altra trova una copia di sola lettura o rischia di sovrascrivere il lavoro del primo
Cosa cambia nel salvataggio di un file creato in un'app di produttività web rispetto a un programma installato?;Si salva da solo continuamente mentre si scrive senza bisogno di un salvataggio manuale
Quali livelli di permesso si possono assegnare condividendo un file online?;Sola visualizzazione anche modifica oppure il trasferimento della proprietà del file
Qual è un errore comune nella condivisione di un file online?;Impostare la condivisione su chiunque abbia il link quando si intendeva invitare solo poche persone specifiche
Che cos'è la cronologia delle versioni di un file online?;Un registro di ogni modifica fatta nel tempo che permette di visualizzare e se necessario ripristinare una versione precedente
Che cos'è il versioning?;Il controllo la gestione e il tracciamento delle diverse evoluzioni di un documento nel tempo
In cosa si differenzia il versioning da un backup tradizionale?;Il backup deve essere predisposto ed eseguito in anticipo mentre nel versioning le versioni vengono registrate automaticamente mentre si lavora
