Che cosa indica l'acronimo ICT?,Information and Communication Technologies (Tecnologie dell'Informazione e della Comunicazione).
"Nel contesto dell'ICT, cosa rappresentano i dati come foto, video e numeri?",L'elemento 'Information'.
"Quale componente dell'ICT si occupa dello scambio di dati tramite chat, email o social?",L'elemento 'Communication'.
Cosa si intende per 'Technology' nella scomposizione dell'ICT?,"Gli strumenti come dispositivi, reti e software che rendono possibile la gestione dei dati."
Quali sono i quattro pilastri fondamentali su cui si regge l'ICT?,"I dispositivi, il software, le reti e i dati."
"Nell'ICT, come vengono definiti gli strumenti fisici?",Dispositivi.
Cosa rappresenta il 'software' all'interno dei quattro pilastri dell'ICT?,Le istruzioni che fanno funzionare i dispositivi.
Quale pilastro dell'ICT riguarda le connessioni che collegano tutti gli elementi?,Le reti.
"Oltre alla comodità, quali sono i rischi concreti portati dall'ICT?","Dipendenza digitale, perdita di privacy, fake news e cyber attacchi."
"In un supermercato, quale tecnologia rileva il passaggio degli oggetti per far scorrere il nastro?",I sensori a infrarossi.
Qual è la funzione del lettore ottico alla cassa di un negozio?,Riconoscere il codice a barre stampato sulla confezione del prodotto.
In quale data è avvenuta la prima scansione storica di un codice a barre (UPC)?,Il 26 giugno 1974 alle ore 8:01.
Quale fu il primo prodotto della storia a essere scansionato con un codice a barre universale?,Un pacchetto di gomme da masticare Wrigley's Juicy Fruit.
Perché inizialmente i clienti erano scettici riguardo all'introduzione del codice a barre?,Temevano che servisse alle aziende per nascondere o alterare i prezzi.
Metafora stradale dell'ICT: cosa rappresentano i veicoli?,I dispositivi.
Metafora stradale dell'ICT: cosa rappresentano le strade?,Le reti.
Metafora stradale dell'ICT: cosa rappresenta il codice della strada?,Il software.
Termine: Hardware,"Definizione: Tutto ciò che è fisico e tangibile in un computer (circuiti, plastica, metallo)."
Termine: Software,"Definizione: L'insieme dei programmi, delle app e delle istruzioni che controllano il computer."
Perché hardware e software sono considerati dipendenti l'uno dall'altro?,"L'hardware senza software è inerte, mentre il software non può esistere senza un hardware su cui essere eseguito."
"Se un'app si blocca continuamente ma lo schermo è integro, che tipo di problema è probabile che sia?",Un problema di natura logica (software).
Quale macchinario per radioterapia fu protagonista di gravi incidenti dovuti a errori software negli anni '80?,Il Therac-25 prodotto dalla AECL.
"Nel caso Therac-25, in quale specifica condizione il software permetteva l'erogazione di radiazioni eccessive?",Quando l'operatore modificava i parametri di trattamento in modo molto rapido.
Metafora dell'auto: cosa rappresenta un guidatore esperto senza una macchina a disposizione?,Un software senza hardware.
