Nella metafora della città a cosa corrisponde una VPN rispetto al traffico normale su Internet?;A un tunnel privato e sorvegliato costruito sotto la città dove nessuno dall'esterno può osservare cosa viene trasportato
Perché su una rete Wi-Fi condivisa chi è collegato può vedere che un dispositivo comunica con un server VPN ma non può leggere le informazioni scambiate?;Perché i dati viaggiano cifrati all'interno del tunnel VPN e diventano illeggibili senza le chiavi di cifratura
Perché con la diffusione dello smart working molte organizzazioni hanno permesso l'accesso ai sistemi aziendali esclusivamente tramite VPN?;Perché così i dipendenti potevano lavorare da casa senza esporre direttamente i server aziendali alla rete pubblica riducendo il rischio di intercettazione
Nella metafora del contenitore blindato a cosa corrisponde il tunnel VPN?;A un contenitore sigillato che viaggia lungo una corsia riservata dove tutti vedono che sta viaggiando ma nessuno può aprirlo o conoscerne il contenuto
Perché usare la VPN aziendale durante il lavoro e una VPN commerciale in aeroporto sullo smartphone rappresentano lo stesso meccanismo ma scopi diversi?;Perché la tecnologia di cifratura è identica in entrambi i casi ma cambia lo scopo della connessione e chi viene collegato
Perché molte multinazionali con sedi in diversi Paesi utilizzano VPN Site-to-Site?;Per condividere applicazioni database e servizi interni tra le sedi senza ricorrere a costosi collegamenti dedicati mantenendo comunicazioni cifrate e controllate
Nella metafora della rete di autostrade private a cosa corrisponde la VPN Remote Access?;A un pass speciale che permette a una singola persona di entrare in una città riservata anche arrivando da lontano
Nella metafora della rete di autostrade private a cosa corrisponde la VPN Site-to-Site?;A un'autostrada privata costruita tra due città percorsa continuamente da veicoli autorizzati
Nella metafora della rete di autostrade private a cosa corrisponde una VPN commerciale?;A un servizio di trasporto protetto che accompagna chiunque decida di utilizzarlo durante il proprio viaggio
Perché conviene attivare la VPN prima di controllare il conto corrente dal Wi-Fi gratuito di un hotel ma non è sempre necessario farlo sulla propria rete di casa?;Perché la rete dell'hotel è condivisa e non controllata mentre la propria rete domestica protetta espone a un rischio molto minore
Perché durante grandi eventi internazionali gli esperti di sicurezza consigliano di usare la VPN sui Wi-Fi pubblici messi a disposizione degli ospiti?;Perché quelle reti utilizzate da migliaia di persone possono diventare bersagli di attacchi informatici o tentativi di intercettazione
Nella metafora dell'impermeabile quando la VPN offre il massimo vantaggio?;Quando ci si trova in ambienti digitali più esposti come le reti pubbliche o le connessioni verso sistemi aziendali
Perché un sito di notizie visitato con la VPN attiva vede un indirizzo IP diverso ma il servizio di posta elettronica riconosce comunque l'utente?;Perché la VPN nasconde l'indirizzo IP ai siti visitati ma i servizi che richiedono un accesso continuano a riconoscere l'utente tramite le sue credenziali
Cosa significa una politica no-log dichiarata da alcuni provider VPN?;Non conservare registri delle attività degli utenti a volte verificata tramite audit indipendenti
Nella metafora del mantello a cosa corrisponde l'ingresso in banca con documento d'identità?;Al momento in cui la propria identità viene comunque rivelata anche se il percorso fino a quel momento era rimasto discreto
Perché ricevere un'email di phishing mentre la VPN è attiva non protegge comunque dal furto delle credenziali?;Perché la VPN cifra il trasporto dei dati ma se l'utente li invia volontariamente a un sito fraudolento il problema è il destinatario sbagliato non la sicurezza della connessione
Cosa dimostrano le numerose campagne di phishing che hanno colpito utenti indipendentemente dall'uso di una VPN?;Che molti attacchi sfruttano il fattore umano più che le debolezze della connessione
Nella metafora dell'auto blindata cosa rappresenta la decisione del conducente di fermarsi davanti all'edificio sbagliato e consegnare le chiavi a uno sconosciuto?;Un errore dell'utente che vanifica la protezione anche se il mezzo di trasporto cioè la VPN era sicuro
